                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83088,                 2.0105,                 1.0404,                 0.9618,                0.81579,                0.89387,                0.76349,                0.64136,                 1.2975,                0.88552,               0.070213,              0.0033097,              0.0033097
                      1,                0.75718,                 1.0541,                 1.0101,                0.96433,                0.88952,                0.93577,                0.78824,                0.63599,                0.79949,                0.87166,               0.040147,              0.0065773,              0.0065773
                      2,                0.82589,                 1.0446,                 1.0304,                0.91637,                0.85516,                0.90549,                0.70805,                0.81465,                0.91589,                0.99779,               0.010015,              0.0097788,              0.0097788
                      3,                0.90038,                 1.0388,                 1.0757,                0.88198,                0.86607,                0.89622,                0.73096,                 0.7474,                0.86694,                0.93843,               0.009703,               0.009703,               0.009703
                      4,                 0.8639,                0.95955,                 1.0525,                0.92692,                0.83551,                0.89588,                0.72186,                0.77565,                0.83348,                0.94156,               0.009703,               0.009703,               0.009703
                      5,                0.86827,                0.91098,                 1.0627,                0.94306,                0.84447,                0.90644,                0.75052,                0.76695,                0.76334,                0.96117,               0.009604,               0.009604,               0.009604
                      6,                0.82897,                0.84399,                 1.0443,                0.93766,                0.87735,                0.92493,                0.75854,                0.72351,                0.71645,                0.93408,               0.009505,               0.009505,               0.009505
                      7,                0.80107,                0.81092,                 1.0412,                0.96191,                0.87588,                0.94836,                 0.7879,                0.62975,                0.58296,                0.86037,               0.009406,               0.009406,               0.009406
                      8,                0.78736,                0.75922,                 1.0328,                0.96317,                0.87093,                  0.921,                0.77967,                0.68421,                0.64822,                0.91956,               0.009307,               0.009307,               0.009307
                      9,                0.78252,                0.74317,                  1.025,                0.97129,                0.90438,                0.95135,                0.81522,                0.64609,                0.55666,                0.87667,               0.009208,               0.009208,               0.009208
                     10,                0.75448,                  0.707,                 1.0091,                0.98351,                0.90697,                0.95095,                0.81715,                0.60634,                 0.5459,                0.85461,               0.009109,               0.009109,               0.009109
                     11,                0.74317,                0.68476,                 1.0098,                0.94481,                0.89662,                0.94816,                0.82918,                0.57614,                0.52015,                0.85125,                0.00901,                0.00901,                0.00901
                     12,                 0.7163,                0.65891,                0.99285,                0.96642,                0.92619,                0.96199,                0.82839,                 0.5749,                0.49862,                0.85291,               0.008911,               0.008911,               0.008911
                     13,                0.72068,                0.66353,                0.99844,                0.95761,                0.91515,                0.95671,                  0.818,                0.60693,                0.50695,                0.87515,               0.008812,               0.008812,               0.008812
                     14,                0.69133,                0.64374,                 0.9846,                0.94835,                0.92298,                0.95852,                0.82075,                0.60764,                0.52141,                0.87839,               0.008713,               0.008713,               0.008713
                     15,                0.69214,                0.64042,                0.98785,                0.97787,                0.90625,                0.95704,                0.82718,                0.58186,                0.49595,                0.86014,               0.008614,               0.008614,               0.008614
                     16,                0.67099,                0.59627,                0.97457,                0.95362,                0.92715,                0.96143,                 0.8423,                  0.562,                0.46201,                0.84031,               0.008515,               0.008515,               0.008515
                     17,                0.65732,                0.59673,                0.96771,                 0.9801,                0.89466,                0.95005,                0.83962,                0.56039,                 0.4783,                0.84811,               0.008416,               0.008416,               0.008416
                     18,                0.64109,                0.57735,                0.96227,                0.97444,                0.91194,                0.95683,                0.84094,                0.53655,                0.45868,                0.83139,               0.008317,               0.008317,               0.008317
                     19,                0.65696,                 0.5874,                0.97646,                0.97111,                0.93288,                0.96361,                0.85601,                0.52743,                0.44157,                0.83681,               0.008218,               0.008218,               0.008218
                     20,                0.64602,                0.57213,                0.96561,                0.96401,                0.92473,                0.95929,                0.83615,                0.54409,                0.44947,                0.84287,               0.008119,               0.008119,               0.008119
                     21,                0.63343,                0.55192,                0.95417,                0.94943,                0.92324,                0.95953,                0.84207,                0.54508,                0.44421,                0.84222,                0.00802,                0.00802,                0.00802
                     22,                0.62774,                0.55856,                0.96183,                0.96572,                 0.9204,                0.96317,                0.84968,                0.55681,                0.44492,                0.85368,               0.007921,               0.007921,               0.007921
                     23,                0.62141,                0.54569,                 0.9574,                0.97031,                0.91215,                0.96389,                 0.8541,                0.51771,                 0.4445,                  0.823,               0.007822,               0.007822,               0.007822
                     24,                0.60119,                 0.5221,                0.94978,                0.97452,                0.89661,                0.96046,                0.85746,                0.52679,                0.44659,                0.82387,               0.007723,               0.007723,               0.007723
                     25,                0.60339,                0.51218,                0.94775,                0.98713,                0.91915,                0.96727,                0.87404,                 0.4917,                0.40131,                0.82295,               0.007624,               0.007624,               0.007624
